ID,path,title,authors,translators,author_uris,translator_uris,original_language,genre,source_edition
43771,/p1975/m43771,דוד בלוך־בלומנפלד,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43772,/p1975/m43772,דוד בנבנישתי,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43773,/p1975/m43773,אליהו ברלין,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43774,/p1975/m43774,דוד־צבי פנקס,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43775,/p1952/m43775,תקופת הגאונים וספרותה: קיצורים וראשי תיבות,שמחה אסף ,"",https://wikidata.org/wiki/Q1444408,"","",Translation missing: he.article, ירושלים: מוסד הרב קוק
43776,/p1952/m43776,פירוש ששה סדרי משנה לרבינו נתן אב הישיבה,שמחה אסף ,"",https://wikidata.org/wiki/Q1444408,"","",Translation missing: he.article, ירושלים: מוסד הרב קוק
43777,/p1952/m43777,"""תשובות גאונים"" מתוך גנזיו של ר' משה בוטריל",שמחה אסף ,"",https://wikidata.org/wiki/Q1444408,"","",Translation missing: he.article, ירושלים: מוסד הרב קוק
43778,/p2400/m43778,עֲלִי בְאֵר,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43779,/p2400/m43779,שִׂמְחוּ נָא,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43780,/p2400/m43780,אֲסַדֵּר שְׁבָחָא,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43781,/p2400/m43781,וַאֲמַרְתֶּם כֹּה,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
